System,GPQA,Date,Open/Closed
claude-2.0,0.3525252525,2023-07-11,Closed
claude-2.1,0.3606060606,2023-11-21,Closed
claude-3-5-sonnet-20240620,0.5623737374,2024-06-20,Closed
claude-3-haiku-20240307,0.3444444444,2024-03-07,Closed
claude-3-opus-20240229,0.4787878788,2024-02-29,Closed
claude-3-sonnet-20240229,0.3914141414,2024-02-29,Closed
Yi-1.5-34B-Chat,0.0595959596,2024-05-10,Open
Hermes-2-Theta-Llama-3-70B,0.3656565657,2024-06-14,Open
Qwen1.5-110B-Chat,0.301010101,2024-04-25,Open
Qwen1.5-32B-Chat,0.1848484848,2024-04-01,Open
deepseek-llm-67b-chat,0.2111111111,2024-01-05,Open
Llama-2-70b-chat-hf,0.2505050505,2023-07-18,Open
gemini-1.0-pro,0.3441919192,2023-12-06,Closed
gemini-1.5-flash,0.4045454545,2024-05-14,Closed
gemini-1.5-pro,0.446969697,2024-05-14,Closed
mistral-large-2407,0.4898989899,2024-07-24,Open
open-mistral-7b,0.1446969697,2023-09-27,Open
open-mistral-nemo,0.301010101,2024-07-18,Open
open-mixtral-8x22b,0.3348484848,2024-04-17,Open
open-mixtral-8x7b,0.2939393939,2023-12-11,Open
deepseek-chat,0.4151515151,2023-11-29,Open
deepseek-coder,0.4303030303,2023-11-02,Open
glm-4,0.3595959596,2024-01-17,Closed
gpt-3.5-turbo,0.2878787879,2023-06-13,Closed
gpt-3.5-turbo-0125,0.3070707071,2024-01-25,Closed
gpt-4-0613,0.3282828283,2023-06-13,Closed
gpt-4-1106-preview,0.4252525252,2023-11-06,Closed
gpt-4o-2024-05-13,0.4903030303,2024-05-13,Closed
gpt-4o-2024-08-06,0.4858585859,2024-08-06,Closed
gpt-4o-mini,0.4027777778,2024-07-18,Closed
gpt-4o-mini-2024-07-18,0.4,2024-07-18,Closed
Meta-Llama-3.1-405B-Instruct,0.5090909091,2024-07-23,Open
Meta-Llama-3.1-70B-Instruct,0.4545454545,2024-07-23,Open
Meta-Llama-3.1-8B-Instruct,0.2505050505,2024-07-23,Open
nemotron-4-340b-instruct,0.4222222222,2024-06-14,Open
o1-mini,0.6070707071,2024-09-12,Closed
o1-preview,0.6971717172,2024-09-12,Closed
Qwen1.5-72B-Chat,0.2929292929,2024-01-30,Open
Qwen2-72B-Instruct,0.3777777778,2024-06-06,Open
dbrx-instruct,0.304040404,2024-03-27,Open
gemma-2-27b-it,0.3545454545,2024-06-24,Open
gemma-2-9b-it,0.3242424242,2024-06-24,Open
Llama-3-70b-chat-hf,0.3848484848,2024-04-18,Open
Llama-3-8b-chat-hf,0.2969696969,2024-04-18,Open
Yi-34B-Chat,0.1646464647,2023-11-02,Open
