System,Date,GSM8k,GSM1k,Training compute (FLOP),Speculative Compute,Active Parameters,Open/Closed
claude-2.1,2023-07-11,0.887,0.894,3.80E+24,,,Closed
claude-3-haiku-20240307,2024-03-04,0.785,0.785,,,,Closed
claude-3-opus-20240229,2024-03-04,0.802,0.825,,4.00E+25,,Closed
claude-3-sonnet-20240229,2024-03-04,0.719,0.744,,,,Closed
codegemma-7b,2024-04-09,0.479,0.416,3.33E+23,,"7,000,000,000",Open
codegemma-7b-it,2024-04-09,0.526,0.471,3.33E+23,,"7,000,000,000",Open
CodeLlama-13b-hf,2023-08-24,0.227,0.212,1.95E+23,,"13,000,000,000",Open
CodeLlama-13b-Instruct-hf,2023-08-24,0.277,0.25,1.95E+23,,"13,000,000,000",Open
CodeLlama-13b-Python-hf,2023-08-24,0.214,0.183,2.03E+23,,"13,000,000,000",Open
CodeLlama-34b-hf,2023-08-24,0.35,0.322,5.30E+23,,"34,000,000,000",Open
CodeLlama-34b-Instruct-hf,2023-08-24,0.415,0.357,5.30E+23,,"34,000,000,000",Open
CodeLlama-34b-Python-hf,2023-08-24,0.306,0.293,5.30E+23,,"34,000,000,000",Open
CodeLlama-70b-hf,2023-08-24,0.486,0.427,1.26E+24,,"70,000,000,000",Open
CodeLlama-70b-Instruct-hf,2023-08-24,0.497,0.471,1.26E+24,,"70,000,000,000",Open
CodeLlama-70b-Python-hf,2023-08-24,0.462,0.399,1.26E+24,,"70,000,000,000",Open
CodeLlama-7b-hf,2023-08-24,0.127,0.125,1.10E+23,,"7,000,000,000",Open
CodeLlama-7b-Instruct-hf,2023-08-24,0.186,0.186,1.10E+23,,"7,000,000,000",Open
CodeLlama-7b-Python-hf,2023-08-24,0.127,0.12,1.10E+23,,"7,000,000,000",Open
command,,0.445,0.383,,,,Closed
dbrx-base,2024-03-27,0.727,0.715,2.60E+24,,"36,000,000,000",Open
dbrx-instruct,2024-03-27,0.75,0.701,2.60E+24,,"36,000,000,000",Open
deepseek-coder-33b-instruct,2024-11-01,0.419,0.409,3.96E+23,,"33,000,000,000",Open
deepseek-llm:67b-base,2023-11-29,0.615,0.522,8.04E+23,,"67,000,000,000",Open
deepseek-math-7b-rl,2024-02-05,0.181,0.207,,,"7,000,000,000",Open
falcon-180B-chat,2023-09-06,0.61,0.545,3.76E+24,,"180,000,000,000",Open
gemini-1.5-pro-preview-0409,2024-04-09,0.897,0.879,,,,Closed
gemini-pro,2023-12-06,0.792,0.789,,,,Closed
gemma-1.1-2b-it,2024-04-09,0.104,0.112,4.50E+22,,"2,000,000,000",Open
gemma-1.1-7b-it,2024-04-09,0.522,0.453,3.07E+23,,"7,000,000,000",Open
gemma-2b,2024-02-21,0.176,0.163,4.50E+22,,"2,000,000,000",Open
gemma-2b-it,2024-02-21,0.111,0.112,4.50E+22,,"2,000,000,000",Open
gemma-7b,2024-02-21,0.541,0.464,3.07E+23,,"7,000,000,000",Open
gemma-7b-it,2024-02-21,0.335,0.291,3.07E+23,,"7,000,000,000",Open
gpt-3.5-turbo,2023-06-13,0.76,0.753,,2.00E+24,,Closed
gpt-4,2024-01-25,0.911,0.918,2.00E+25,,"280,000,000,000",Closed
gpt-4-turbo,2024-04-09,0.898,0.898,,2.00E+25,,Closed
gpt-neox-20b,2022-02-09,0.059,0.056,9.32E+22,,"20,000,000,000",Open
gpt2-xl,2019-02-14,0.021,0.017,1.92E+21,,"1,500,000,000",Open
Llama-2-13b-hf,2023-07-18,0.23,0.235,1.60E+23,,"13,000,000,000",Open
Llama-2-70b-hf,2023-07-18,0.538,0.516,8.10E+23,,"70,000,000,000",Open
Llama-2-7b-hf,2023-07-18,0.141,0.118,8.40E+22,,"7,000,000,000",Open
Llama-3-8B-instruct,2024-04-18,0.752,0.69,7.20E+23,,"8,000,000,000",Open
math-shepherd-mistral-7b-rl,2024-01-03,0.745,0.611,,,"7,000,000,000",Open
Meta-Llama-3-70B,2024-04-18,0.811,0.789,6.30E+24,,"70,000,000,000",Open
Meta-Llama-3-70B-instruct,2024-04-18,0.896,0.876,6.30E+24,,"70,000,000,000",Open
Meta-Llama-3-8B,2024-04-18,0.499,0.442,7.20E+23,,"8,000,000,000",Open
Mistral-7B-Instruct-v0.1,2023-10-10,0.335,0.316,,8.40E+22,"7,000,000,000",Open
Mistral-7B-Instruct-v0.2,2023-10-10,0.426,0.399,,8.40E+22,"7,000,000,000",Open
Mistral-7B-v0.1,2023-10-10,0.381,0.353,,8.40E+22,"7,000,000,000",Open
Mistral-8x22B-v0.1,,0.77,0.677,,1.00E+24,"39,000,000,000",Open
Mistral-8x7B-v0.1,,0.578,0.53,,2.00E+23,"13,000,000,000",Open
mistral-large-latest,2024-02-26,0.853,0.853,1.12E+25,,,Closed
mistral-small,,0.668,0.605,,,,Closed
mistral-small-latest,,0.79,0.718,,,,Closed
mistral-tiny,,0.443,0.422,,,,Closed
Mixtral-8x22B-instruct-v0.1,2024-04-17,0.859,0.76,,1.00E+24,"39,000,000,000",Open
Mixtral-8x7B-Instruct-v0.1,2024-04-17,0.641,0.594,,2.00E+23,"13,000,000,000",Open
OpenMath-Llama-2-70b-hf,2024-02-10,0.171,0.142,,,"70,000,000,000",Open
phi-1,2023-06-20,0.324,0.276,5.46E+19,,"1,300,000,000",Open
phi-2,2023-12-12,0.569,0.495,2.27E+22,,"2,780,000,000",Open
Phi-3-mini-128k-instruct,2024-04-23,0.741,0.683,7.50E+22,,"3,820,000,000",Open
Phi-3-mini-4k-instruct,2024-04-23,0.782,0.684,7.50E+22,,"3,820,000,000",Open
Phind-CodeLlama-34B-v2,2023-08-28,0.416,0.368,,,"34,000,000,000",Open
pythia-12b,2023-04-03,0.036,0.021,2.16E+22,,"12,000,000,000",Open
Smaug-2-72B,2024-03-29,0.799,0.738,1.30E+24,,"72,000,000,000",Open
Smaug-34B-v0.1,2024-02-20,0.757,0.688,6.10E+23,,"34,000,000,000",Open
vicuna-33b-v1.3,2023-06-22,0.379,0.341,,,"33,000,000,000",Open
Xwin-Math-13B-V1.0,2024-03-07,0.631,0.529,,,"13,000,000,000",Open
Xwin-Math-7B-V1.0,2024-03-07,0.529,0.428,,,"7,000,000,000",Open
Yi-34B-Chat,2023-11-02,0.641,0.569,6.10E+23,,"34,000,000,000",Open
Yi-6B-Chat,2023-11-02,0.408,0.334,1.08E+23,,"6,000,000,000",Open
